record type,booking id,service type,block number,route,logon block id,start time,end time,start place,end place,garage,block name,preferred bus series 1
10,1,1,77,115,77,24960,89820,SN16,SN16,SN16,77,Bus
10,1,1,78,115,78,29700,83040,SN16,SN16,SN16,78,Bus
10,1,1,79,115,79,33480,76080,SN16,SN16,SN16,79,Bus
10,1,1,80,115,80,36900,79680,SN16,SN16,SN16,80,Bus
10,1,1,81,115,81,40320,69000,SN16,SN16,SN16,81,Bus
10,1,1,82,115,82,77160,88140,SN16,SN16,SN16,82,Bus
10,1,1,83,117,83,15900,85140,SN19,SN19,SN19,83,Bus
10,1,1,84,117,84,19080,91320,SN19,SN19,SN19,84,Bus
10,1,1,85,119,85,16080,83160,SN19,SN19,SN19,85,Bus
10,1,1,86,119,86,16200,31860,SN19,SN19,SN19,86,Bus
10,1,1,87,119,87,19200,28260,SN19,SN19,SN19,87,Bus
10,1,1,88,119,88,25500,35460,SN19,SN19,SN19,88,Bus
10,1,1,89,119,89,29100,39060,SN19,SN19,SN19,89,Bus
10,1,1,90,119,90,32700,42720,SN19,SN19,SN19,90,Bus
10,1,1,91,119,91,36240,67680,SN19,SN19,SN19,91,Bus
10,1,1,92,119,92,39840,71280,SN19,SN19,SN19,92,Bus
10,1,1,93,119,93,43140,64320,SN19,SN19,SN19,93,Bus
10,1,1,94,119,94,63120,82500,SN19,SN19,SN19,94,Bus
10,1,1,95,119,95,66540,85860,SN19,SN19,SN19,95,Bus
10,1,1,96,119,96,80100,88680,SN19,SN19,SN19,96,Bus
10,1,1,97,120,97,13740,98580,SN16,SN16,SN16,97,Bus
10,1,1,98,120,98,33360,72300,SN16,SN16,SN16,98,Bus
10,1,1,99,120,99,70500,93180,SN16,SN16,SN16,99,Bus
10,1,1,100,121,100,14640,74040,SN16,SN16,SN16,100,Bus
10,1,1,101,121,101,16980,93120,SN16,SN16,SN16,101,Bus
10,1,1,102,121,102,17820,94020,SN16,SN16,SN16,102,Bus
10,1,1,103,122,103,17340,73020,SN19,SN19,SN19,103,Bus
10,1,1,104,122,104,18720,92820,SN19,SN19,SN19,104,Bus
10,1,1,105,201,105,2640,84300,SN19,SN19,SN19,105,Bus
10,1,1,106,201,106,5280,68640,SN19,SN19,SN19,106,Bus
10,1,1,107,201,107,6240,95760,SN19,SN19,SN19,107,Bus
10,1,1,108,201,108,8880,90360,SN19,SN19,SN19,108,Bus
10,1,1,109,201,109,9840,91140,SN19,SN19,SN19,109,Bus
10,1,1,110,201,110,20160,84840,SN19,SN19,SN19,110,Bus
10,1,1,111,201,111,23640,82140,SN19,SN19,SN19,111,Bus
10,1,1,112,201,112,20580,84540,SN19,SN19,SN19,112,Bus
10,1,1,113,201,113,22500,94740,SN19,SN19,SN19,113,Bus
10,1,1,114,201,114,82740,92160,SN19,SN19,SN19,114,Bus
10,1,1,115,202,115,4200,89940,SN19,SN19,SN19,115,Bus
10,1,1,116,202,116,6000,82980,SN19,SN19,SN19,116,Bus
10,1,1,117,202,117,7800,67620,SN19,SN19,SN19,117,Bus
10,1,1,118,202,118,9600,86460,SN19,SN19,SN19,118,Bus
10,1,1,119,202,119,18000,87120,SN19,SN19,SN19,119,Bus
10,1,1,120,202,120,19140,70980,SN19,SN19,SN19,120,Bus
