record type,booking id,direction num,direction name,route id,route variant,sequence num,total sequence num,from timepoint name,to timepoint name,from longitude,from latitude,to longitude,to latitude,from stop name,to stop name,from timepoint id,to timepoint id,from stop id,to stop id
80,1,0,OUTBOUND,101,A,40,52,,,-115.242182,36.200016,-115.242182,36.20407,SN3219,SN2231,0,0,3219,2231
80,1,0,OUTBOUND,101,A,41,52,,,-115.242182,36.20407,-115.242183,36.207435,SN2231,SN2261,0,0,2231,2261
80,1,0,OUTBOUND,101,A,42,52,,,-115.242183,36.207435,-115.242185,36.211327,SN2261,SN2223,0,0,2261,2223
80,1,0,OUTBOUND,101,A,43,52,,,-115.242185,36.211327,-115.242193,36.216703,SN2223,SN2213,0,0,2223,2213
80,1,0,OUTBOUND,101,A,44,52,,SN2188,-115.242193,36.216703,-115.242195,36.218605,SN2213,SN2188,0,2188,2213,2188
80,1,0,OUTBOUND,101,A,45,52,SN2188,,-115.242195,36.218605,-115.242199,36.222372,SN2188,SN2185,2188,0,2188,2185
80,1,0,OUTBOUND,101,A,46,52,,,-115.242199,36.222372,-115.242213,36.225985,SN2185,SN2204,0,0,2185,2204
80,1,0,OUTBOUND,101,A,47,52,,,-115.242213,36.225985,-115.242215,36.230275,SN2204,SN2226,0,0,2204,2226
80,1,0,OUTBOUND,101,A,48,52,,,-115.242215,36.230275,-115.242191,36.233559,SN2226,SN2179,0,0,2226,2179
80,1,0,OUTBOUND,101,A,49,52,,,-115.242191,36.233559,-115.242146,36.23688,SN2179,SN2257,0,0,2179,2257
80,1,0,OUTBOUND,101,A,50,52,,,-115.242146,36.23688,-115.242134,36.241206,SN2257,SN5690,0,0,2257,5690
80,1,0,OUTBOUND,101,A,51,52,,,-115.242134,36.241206,-115.242116,36.244395,SN5690,SN5691,0,0,5690,5691
80,1,0,OUTBOUND,101,A,52,52,,SN5441,-115.242116,36.244395,-115.241333,36.247622,SN5691,SN5441,0,5441,5691,5441
80,1,0,OUTBOUND,101,-,1,56,SN7006,,-115.243317,36.024207,-115.243264,36.028999,SN7006,SN7007,7006,0,7006,7007
80,1,0,OUTBOUND,101,-,2,56,,,-115.243264,36.028999,-115.243252,36.033641,SN7007,SN7008,0,0,7007,7008
80,1,0,OUTBOUND,101,-,3,56,,,-115.243252,36.033641,-115.243232,36.037972,SN7008,SN7009,0,0,7008,7009
80,1,0,OUTBOUND,101,-,4,56,,SN6650,-115.243232,36.037972,-115.243199,36.041849,SN7009,SN6650,0,6650,7009,6650
80,1,0,OUTBOUND,101,-,5,56,SN6650,,-115.243199,36.041849,-115.243139,36.045351,SN6650,SN6675,6650,0,6650,6675
80,1,0,OUTBOUND,101,-,6,56,,,-115.243139,36.045351,-115.24305,36.049187,SN6675,SN6082,0,0,6675,6082
80,1,0,OUTBOUND,101,-,7,56,,,-115.24305,36.049187,-115.242915,36.052895,SN6082,SN6395,0,0,6082,6395
80,1,0,OUTBOUND,101,-,8,56,,SN6083,-115.242915,36.052895,-115.242784,36.056437,SN6395,SN6083,0,6083,6395,6083
80,1,0,OUTBOUND,101,-,9,56,SN6083,SN5477,-115.242784,36.056437,-115.242317,36.061828,SN6083,SN5477,6083,5477,6083,5477
80,1,0,OUTBOUND,101,-,10,56,SN5477,,-115.242317,36.061828,-115.242325,36.071132,SN5477,SN6396,5477,0,5477,6396
80,1,0,OUTBOUND,101,-,11,56,,,-115.242325,36.071132,-115.242427,36.07462,SN6396,SN6057,0,0,6396,6057
80,1,0,OUTBOUND,101,-,12,56,,,-115.242427,36.07462,-115.2425,36.078245,SN6057,SN6086,0,0,6057,6086
80,1,0,OUTBOUND,101,-,13,56,,,-115.2425,36.078245,-115.242587,36.081822,SN6086,SN6123,0,0,6086,6123
80,1,0,OUTBOUND,101,-,14,56,,,-115.242587,36.081822,-115.242639,36.085527,SN6123,SN5501,0,0,6123,5501
80,1,0,OUTBOUND,101,-,15,56,,,-115.242639,36.085527,-115.242737,36.090423,SN5501,SN4370,0,0,5501,4370
80,1,0,OUTBOUND,101,-,16,56,,,-115.242737,36.090423,-115.24278,36.092976,SN4370,SN3215,0,0,4370,3215
80,1,0,OUTBOUND,101,-,17,56,,,-115.24278,36.092976,-115.242815,36.09466,SN3215,SN3216,0,0,3215,3216
80,1,0,OUTBOUND,101,-,18,56,,SN3217,-115.242815,36.09466,-115.242915,36.100325,SN3216,SN3217,0,3217,3216,3217
80,1,0,OUTBOUND,101,-,19,56,SN3217,,-115.242915,36.100325,-115.242878,36.104003,SN3217,SN3218,3217,0,3217,3218
80,1,0,OUTBOUND,101,-,20,56,,,-115.242878,36.104003,-115.242809,36.111712,SN3218,SN2236,0,0,3218,2236
80,1,0,OUTBOUND,101,-,21,56,,SN2200,-115.242809,36.111712,-115.242793,36.115383,SN2236,SN2200,0,2200,2236,2200
