record type,booking id,service type,block number,route,logon block id,start time,end time,start place,end place,garage,block name,preferred bus series 1
10,57,2,1,101,1,13320,71220,SN16,SN16,SN16,1,Bus
10,57,2,2,101,2,14520,92520,SN16,SN16,SN16,2,Bus
10,57,2,3,101,3,16380,98580,SN16,SN16,SN16,3,Bus
10,57,2,4,101,4,15960,95160,SN16,SN16,SN16,4,Bus
10,57,2,5,101,5,19680,95940,SN16,SN16,SN16,5,Bus
10,57,2,6,101,6,20700,72360,SN16,SN16,SN16,6,Bus
10,57,2,7,101,7,44100,77760,SN16,SN16,SN16,7,Bus
10,57,2,8,101,8,18060,93480,SN16,SN16,SN16,8,Bus
10,57,2,9,102,9,14160,80580,SN16,SN16,SN16,9,Bus
10,57,2,10,102,10,15300,73140,SN16,SN16,SN16,10,Bus
10,57,2,11,102,11,19140,77880,SN16,SN16,SN16,11,Bus
10,57,2,12,102,12,20760,94140,SN16,SN16,SN16,12,Bus
10,57,2,13,102,13,78120,92760,SN16,SN16,SN16,13,Bus
10,57,2,14,103,14,1680,14940,SN19,SN19,SN19,14,Bus
10,57,2,15,103,15,5280,11340,SN19,SN19,SN19,15,Bus
10,57,2,16,103,16,13440,67260,SN19,SN19,SN19,16,Bus
10,57,2,17,103,17,17520,39840,SN19,SN19,SN19,17,Bus
10,57,2,18,103,18,16680,35100,SN19,SN19,SN19,18,Bus
10,57,2,19,103,19,17640,35040,SN19,SN19,SN19,19,Bus
10,57,2,20,103,20,19680,37440,SN19,SN19,SN19,20,Bus
10,57,2,21,103,21,20700,73980,SN19,SN19,SN19,21,Bus
10,57,2,22,103,22,22740,70560,SN19,SN19,SN19,22,Bus
10,57,2,23,103,23,24300,42300,SN19,SN19,SN19,23,Bus
10,57,2,24,103,24,35520,68580,SN19,SN19,SN19,24,Bus
10,57,2,25,103,25,37740,85380,SN19,SN19,SN19,25,Bus
10,57,2,26,103,26,39900,91260,SN19,SN19,SN19,26,Bus
10,57,2,27,103,27,42120,67320,SN19,SN19,SN19,27,Bus
10,57,2,28,103,28,68460,84420,SN19,SN19,SN19,28,Bus
10,57,2,29,103,29,72060,80940,SN19,SN19,SN19,29,Bus
10,57,2,30,103,30,82740,87780,SN19,SN19,SN19,30,Bus
10,57,2,31,103,31,15900,71100,SN19,SN19,SN19,31,Bus
10,57,2,32,103,32,12300,70740,SN19,SN19,SN19,32,Bus
10,57,2,33,103,33,35520,91320,SN19,SN19,SN19,33,Bus
10,57,2,34,103,34,44520,88680,SN19,SN19,SN19,34,Bus
10,57,2,35,104,35,16200,79140,SN19,SN19,SN19,35,Bus
10,57,2,36,104,36,15360,75780,SN19,SN19,SN19,36,Bus
10,57,2,37,104,37,16560,87900,SN19,SN19,SN19,37,Bus
10,57,2,38,104,38,19860,93900,SN19,SN19,SN19,38,Bus
10,57,2,39,104,39,31920,85380,SN19,SN19,SN19,39,Bus
10,57,2,40,104,40,19980,89760,SN19,SN19,SN19,40,Bus
10,57,2,41,105,41,11460,93480,SN16,SN16,SN16,41,Bus
10,57,2,42,105,42,15060,92460,SN16,SN16,SN16,42,Bus
10,57,2,43,105,43,15360,96360,SN16,SN16,SN16,43,Bus
10,57,2,44,105,44,18480,66540,SN16,SN16,SN16,44,Bus
10,57,2,45,105,45,18600,96660,SN16,SN16,SN16,45,Bus
10,57,2,46,105,46,21300,84360,SN16,SN16,SN16,46,Bus
10,57,2,47,105,47,26400,80400,SN16,SN16,SN16,47,Bus
10,57,2,48,105,48,42900,70380,SN16,SN16,SN16,48,Bus
10,57,2,49,106,49,13560,77220,SN16,SN16,SN16,49,Bus
10,57,2,50,106,50,18960,28140,SN16,SN16,SN16,50,Bus
10,57,2,51,106,51,15360,84000,SN16,SN16,SN16,51,Bus
10,57,2,52,106,52,15420,69480,SN16,SN16,SN16,52,Bus
10,57,2,53,106,53,18060,67320,SN16,SN16,SN16,53,Bus
10,57,2,54,106,54,21480,69300,SN16,SN16,SN16,54,Bus
10,57,2,55,106,55,22260,31980,SN16,SN16,SN16,55,Bus
10,57,2,56,108,56,15060,82080,SN19,SN19,SN19,56,Bus
10,57,2,57,108,57,15420,88440,SN19,SN19,SN19,57,Bus
10,57,2,58,108,58,18420,92820,SN19,SN19,SN19,58,Bus
10,57,2,59,108,59,20100,92100,SN19,SN19,SN19,59,Bus
10,57,2,60,109,60,7020,83460,SN19,SN19,SN19,60,Bus
10,57,2,61,109,61,8820,92700,SN19,SN19,SN19,61,Bus
10,57,2,62,109,62,10620,67200,SN19,SN19,SN19,62,Bus
10,57,2,63,109,63,12420,94740,SN19,SN19,SN19,63,Bus
