record type,place id,place name,place description,at street abbr,on street abbr,district name,place type
4,596,SN596,WB Cheyenne after Simmons,AtStreetAbbr596,OnStreetAbbr596,DistrictName596,0
4,618,SN618,SB Civic Center after Basswood,AtStreetAbbr618,OnStreetAbbr618,DistrictName618,0
4,632,SN632,NB Civic Center after Lake Mead,AtStreetAbbr632,OnStreetAbbr632,DistrictName632,0
4,633,SN633,SB Civic Center after Lake Mead,AtStreetAbbr633,OnStreetAbbr633,DistrictName633,0
4,655,SN655,NB Campus at CSN Cheyenne Campus,AtStreetAbbr655,OnStreetAbbr655,DistrictName655,0
4,674,SN674,EB Craig after Lamb,AtStreetAbbr674,OnStreetAbbr674,DistrictName674,0
4,677,SN677,EB Craig before Las Vegas,AtStreetAbbr677,OnStreetAbbr677,DistrictName677,0
4,690,SN690,NB Decatur before Alpine,AtStreetAbbr690,OnStreetAbbr690,DistrictName690,0
4,691,SN691,NB Decatur after Alta,AtStreetAbbr691,OnStreetAbbr691,DistrictName691,0
4,697,SN697,SB Decatur after Charleston,AtStreetAbbr697,OnStreetAbbr697,DistrictName697,0
4,698,SN698,NB Decatur after Cheyenne,AtStreetAbbr698,OnStreetAbbr698,DistrictName698,0
4,718,SN718,NB Decatur after Lake Mead,AtStreetAbbr718,OnStreetAbbr718,DistrictName718,0
4,719,SN719,SB Decatur after Lake Mead,AtStreetAbbr719,OnStreetAbbr719,DistrictName719,0
4,737,SN737,NB Decatur after Sahara,AtStreetAbbr737,OnStreetAbbr737,DistrictName737,0
4,738,SN738,SB Decatur after Sahara,AtStreetAbbr738,OnStreetAbbr738,DistrictName738,0
4,743,SN743,NB Decatur after Spring Mountain,AtStreetAbbr743,OnStreetAbbr743,DistrictName743,0
4,744,SN744,SB Decatur after Spring Mountain,AtStreetAbbr744,OnStreetAbbr744,DistrictName744,0
4,747,SN747,NB Decatur after Tropicana,AtStreetAbbr747,OnStreetAbbr747,DistrictName747,0
4,754,SN754,NB Decatur after Washington,AtStreetAbbr754,OnStreetAbbr754,DistrictName754,0
4,755,SN755,SB Decatur after Washington,AtStreetAbbr755,OnStreetAbbr755,DistrictName755,0
4,765,SN765,NB Lamb after Boulder,AtStreetAbbr765,OnStreetAbbr765,DistrictName765,0
