record type,booking id,service type,type,trip id,block number,direction num,direction name,route id,route variant,distance,comment id,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23
11,1,0,0,357860879,108,1,INBOUND,122,A,2928.,,122,54780,57120,SN19,SN19,,0000001,122,0,0,357860879
20,1,0,0,357860879,108,1,INBOUND,122,A,0.0,,6042,54780,,,,,,,,,
20,1,0,0,357860879,108,1,INBOUND,122,A,497.0,,6651,55380,,,,,,,,,
20,1,0,0,357860879,108,1,INBOUND,122,A,248.6,,6652,55680,,,,,,,,,
20,1,0,0,357860879,108,1,INBOUND,122,A,254.3,,5422,55980,,,,,,,,,
20,1,0,0,357860879,108,1,INBOUND,122,A,295.8,,6919,56340,,,,,,,,,
20,1,0,0,357860879,108,1,INBOUND,122,A,727.0,,6921,56580,,,,,,,,,
20,1,0,0,357860879,108,1,INBOUND,122,A,383.1,,6926,56880,,,,,,,,,
20,1,0,0,357860879,108,1,INBOUND,122,A,522.5,,6937,57120,,,,,,,,,
11,1,0,0,357860901,108,0,OUTBOUND,122,A,2413.,,122,57180,59580,SN19,SN19,,0000001,122,0,0,357860901
20,1,0,0,357860901,108,0,OUTBOUND,122,A,0.0,,6937,57180,,,,,,,,,
20,1,0,0,357860901,108,0,OUTBOUND,122,A,285.4,,6932,57480,,,,,,,,,
20,1,0,0,357860901,108,0,OUTBOUND,122,A,617.9,,7247,57720,,,,,,,,,
20,1,0,0,357860901,108,0,OUTBOUND,122,A,366.5,,6694,58020,,,,,,,,,
20,1,0,0,357860901,108,0,OUTBOUND,122,A,233.5,,6657,58380,,,,,,,,,
20,1,0,0,357860901,108,0,OUTBOUND,122,A,253.7,,6658,58680,,,,,,,,,
20,1,0,0,357860901,108,0,OUTBOUND,122,A,287.5,,6659,58980,,,,,,,,,
20,1,0,0,357860901,108,0,OUTBOUND,122,A,369.1,,6552,59580,,,,,,,,,
11,1,0,1,2051029512,108,,,,,0.0,,,59580,59580,SN19,SN19,,0000001,,0,0,2051029512
11,1,0,0,357856776,108,0,OUTBOUND,217,-,2040.,,217,60900,65280,SN19,SN19,,0000001,217,0,0,357856776
20,1,0,0,357856776,108,0,OUTBOUND,217,-,0.0,,6029,60900,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,245.7,,3051,61500,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,304.3,,3036,61800,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,183.5,,3040,62220,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,248.0,,3061,62700,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,330.3,,5423,63420,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,306.9,,1530,63840,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,139.3,,443,64500,,,,,,,,,
20,1,0,0,357856776,108,0,OUTBOUND,217,-,282.5,,297,65280,,,,,,,,,
11,1,0,0,357856794,108,1,INBOUND,217,-,4072.,,217,66000,71220,SN19,SN19,,0000001,217,0,0,357856794
20,1,0,0,357856794,108,1,INBOUND,217,-,0.0,,297,66000,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,332.8,,6824,66360,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,217.8,,6840,66960,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,309.4,,5424,67260,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,254.6,,3062,67980,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,320.4,,3041,68400,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,253.5,,3037,68760,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,561.7,,3052,68940,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,265.7,,6552,69420,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,18.8,,6029,69540,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,257.7,,6297,69900,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,333.5,,6327,70560,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,774.2,,5442,70920,,,,,,,,,
20,1,0,0,357856794,108,1,INBOUND,217,-,172.4,,6552,71220,,,,,,,,,
11,1,0,1,758107726,108,,,,,0.0,,,71220,71220,SN19,SN19,,0000001,,0,0,758107726
11,1,0,0,357860884,108,1,INBOUND,122,A,2928.,,122,72000,74220,SN19,SN19,,0000001,122,0,0,357860884
20,1,0,0,357860884,108,1,INBOUND,122,A,0.0,,6042,72000,,,,,,,,,
20,1,0,0,357860884,108,1,INBOUND,122,A,497.0,,6651,72600,,,,,,,,,
20,1,0,0,357860884,108,1,INBOUND,122,A,248.6,,6652,72900,,,,,,,,,
20,1,0,0,357860884,108,1,INBOUND,122,A,254.3,,5422,73200,,,,,,,,,
20,1,0,0,357860884,108,1,INBOUND,122,A,295.8,,6919,73500,,,,,,,,,
20,1,0,0,357860884,108,1,INBOUND,122,A,727.0,,6921,73680,,,,,,,,,
20,1,0,0,357860884,108,1,INBOUND,122,A,383.1,,6926,73980,,,,,,,,,
