record type,booking id,service type,division name,run id,run pieces,run name,block number,piece number,start place,end place,sign on time of piece,start time of piece,end time of piece,clear time of piece,special trip option id,op days
50,1,3,,1000,1,1000,,,,,,,,,,
51,1,3,,1000,,,211303,1,SN16,SN20016,197,197,831,831,,
50,1,3,,1001,1,1001,,,,,,,,,,
51,1,3,,1001,,,211502,1,SN16,SN677,205,205,711,711,,
50,1,3,,1002,1,1002,,,,,,,,,,
51,1,3,,1002,,,212001,1,SN16,SN6542,224,224,681,681,,
50,1,3,,1003,1,1003,,,,,,,,,,
51,1,3,,1003,,,211104,1,SN16,SN6775,228,228,765,765,,
50,1,3,SIMM FX,1004,1,1004,,,,,,,,,,
51,1,3,SIMM FX,1004,,,221801,1,SN16,SN3872,235,235,738,738,,
50,1,3,,1005,1,1005,,,,,,,,,,
51,1,3,,1005,,,211504,1,SN16,SN677,241,241,848,848,,
50,1,3,,1006,1,1006,,,,,,,,,,
51,1,3,,1006,,,211305,1,SN16,SN20016,252,252,634,634,,
50,1,3,,1007,1,1007,,,,,,,,,,
51,1,3,,1007,,,220305,1,SN16,SN5943,259,259,721,721,,
50,1,3,,1008,1,1008,,,,,,,,,,
51,1,3,,1008,,,220606,1,SN16,SN6479,262,262,887,887,,
50,1,3,,1009,1,1009,,,,,,,,,,
51,1,3,,1009,,,211011,1,SN16,SN655,261,261,738,738,,
50,1,3,,1010,1,1010,,,,,,,,,,
51,1,3,,1010,,,220607,1,SN16,SN3692,263,263,873,873,,
50,1,3,,1011,1,1011,,,,,,,,,,
51,1,3,,1011,,,220306,1,SN16,SN1571,269,269,738,738,,
50,1,3,,1012,1,1012,,,,,,,,,,
51,1,3,,1012,,,221004,1,SN16,SN1496,274,274,740,740,,
50,1,3,,1013,1,1013,,,,,,,,,,
51,1,3,,1013,,,221006,1,SN16,SN1496,284,284,865,865,,
50,1,3,,1014,1,1014,,,,,,,,,,
51,1,3,,1014,,,220308,1,SN16,SN1571,290,290,897,897,,
50,1,3,,1015,1,1015,,,,,,,,,,
51,1,3,,1015,,,211005,1,SN16,SN655,294,294,677,677,,
50,1,3,,1016,1,1016,,,,,,,,,,
51,1,3,,1016,,,220622,1,SN16,SN3692,311,311,933,933,,
50,1,3,,1017,1,1017,,,,,,,,,,
