12/05/21
December 5, 2021 (OS-47186)
Run_id,Block_id,Block_no,PassingTime,DayMap,TimePointID,Trip_id,Trip_no,Route,Var,Trip Direction,ScheduleType,TripType,TripPatternID,WorkID2,WorkID1,GarageID,Garage Name,Original DayMap,,Division
00002,0043,100043,16740,,4000822,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,17220,,4000063,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,17640,,4000576,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,18480,,4000299,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,18900,,4001022,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,18900,,4001022,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,19020,,4000340,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,19440,,4000715,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,20160,,6000930,7,7,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,20940,,6000930,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,21600,,4000716,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,21960,,4000360,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,22200,,4001018,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,22200,,4001018,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,22620,,4000301,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,23580,,4000576,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,23940,,4000142,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,24480,,4000822,8,8,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,25740,,4000822,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
