record type,bus stop id,bus stop short name,bus stop long name,longitude,latitude
90,227,SN227,EB Bonanza after Triest,-115.085578,36.173358
90,228,SN228,WB Bonanza after Triest,-115.087209,36.17359
90,229,SN229,EB Bonanza after Casino Center,-115.139848,36.175984
90,230,SN230,WB Bonanza after Wardelle,-115.109998,36.173862
90,236,SN236,SB Boulder after Sahara,-115.096002,36.140569
90,242,SN242,Railroad Pass On Property Stop,-114.911989,35.972099
90,245,SN245,NB Boulder after Basic,-114.975002,36.033616
90,246,SN246,SB Boulder after Basic,-114.974487,36.032539
90,247,SN247,NB Boulder at Boulder Station,-115.086309,36.132586
90,248,SN248,NB Boulder after Pueblo,-114.961749,36.021832
90,249,SN249,SB Boulder after College,-114.960953,36.020521
90,250,SN250,NB Boulder before Corn,-115.005223,36.060508
90,251,SN251,SB Boulder after Corn,-115.004641,36.059372
90,252,SN252,NB Boulder before Dalhart,-115.094936,36.140224
90,253,SN253,NB Boulder before Desert Horizons,-115.037225,36.088976
90,254,SN254,SB Boulder after Kentucky,-115.037659,36.088729
90,259,SN259,SB Boulder before Flamingo,-115.068069,36.11576
90,260,SN260,NB Boulder after Flamingo,-115.067173,36.115577
90,262,SN262,SB Boulder before Coogan,-115.007293,36.061738
90,267,SN267,SB Boulder after Greenway,-114.964467,36.023658
90,268,SN268,NB Boulder after Hamilton,-115.040987,36.092346
90,270,SN270,SB Boulder after Harmon,-115.058858,36.107583
90,272,SN272,NB Boulder after Indios,-115.074242,36.121852
90,273,SN273,SB Boulder after Indios,-115.073699,36.120758
90,275,SN275,NB Boulder after King,-114.999437,36.055367
90,276,SN276,NB Boulder after Lake Mead,-114.982682,36.040496
90,278,SN278,NB Boulder after Lamb,-115.084147,36.130638
90,281,SN281,SB Boulder after Magic,-114.942389,36.003959
90,282,SN282,NB Boulder after Magic,-114.94331,36.005415
90,283,SN283,NB Boulder after Major,-114.971862,36.03082
90,286,SN286,NB Boulder after Merlayne,-115.009186,36.064031
90,287,SN287,NB Boulder before Missouri,-115.045651,36.096504
90,292,SN292,SB Boulder after Nellis,-115.064129,36.112263
90,293,SN293,NB Boulder before Nellis,-115.063453,36.112271
90,295,SN295,NB Boulder after Warm Springs,-114.995476,36.051838
90,296,SN296,SB Boulder before Warm Springs,-114.995796,36.051466
90,297,SN297,NB Boulder after Palo Verde,-114.965796,36.025463
90,298,SN298,NB Boulder after Roberts,-114.940399,36.002858
90,300,SN300,NB Boulder after Rolly,-115.001875,36.057526
90,301,SN301,SB Boulder after Rolly,-115.00158,36.056645
90,303,SN303,SB Boulder after Russell,-115.032256,36.08393
90,307,SN307,SB Boulder after Snap,-114.999785,36.055052
90,308,SN308,NB Boulder before Harmon,-115.057589,36.107064
90,312,SN312,SB Boulder after Texas,-114.977556,36.035267
90,313,SN313,NB Boulder Hwy after Texas,-114.979766,36.037862
90,314,SN314,NB Boulder after Tropicana,-115.051156,36.101344
90,318,SN318,NB Boulder after Water,-114.989121,36.046184
90,319,SN319,SB Boulder after Water,-114.988274,36.044809
90,332,SN332,SB Bruce after Gragson,-115.125227,36.182897
90,335,SN335,SB Bruce after Searles,-115.12522,36.18453
90,337,SN337,NB Bruce at Todd,-115.124977,36.18287
90,338,SN338,SB Bruce after Washington,-115.12524,36.180768
90,339,SN339,SB Buchanan after Boulder City Pkwy,-114.845788,35.97356
90,340,SN340,SB Buchanan before Pinata,-114.845398,35.9702
90,342,SN342,SB Buffalo before Carmen,-115.260158,36.185429
90,348,SN348,EB Burkholder before Cabrillo,-114.96559,36.037425
90,363,SN363,NB Camino Eldorado after Ann,-115.15698,36.261786
90,370,SN370,EB Carey after Bruce,-115.124541,36.202995
90,371,SN371,WB Carey after Bruce,-115.125761,36.203209
90,372,SN372,EB Carey after Civic Center,-115.119523,36.203004
90,373,SN373,WB Carey after Civic Center,-115.121828,36.203219
90,375,SN375,WB Carey after Clayton,-115.170393,36.203056
90,376,SN376,EB Carey after Commerce,-115.14179,36.202959
90,377,SN377,WB Carey after Commerce,-115.14356,36.203198
90,381,SN381,EB Carey after Donna,-115.128934,36.202984
90,382,SN382,WB Carey after Donna,-115.130404,36.203203
90,384,SN384,WB Carey after Englestad,-115.147563,36.203197
90,397,SN397,WB Carey after Losee,-115.139359,36.203238
90,398,SN398,EB Carey before Losee,-115.138842,36.202985
90,399,SN399,EB Carey after Martin L King,-115.160057,36.202919
90,400,SN400,WB Carey after Martin L King,-115.161702,36.203117
90,402,SN402,WB Carey before North,-115.15706,36.203198
90,403,SN403,EB Carey after North,-115.156762,36.202962
90,408,SN408,WB Carey after Revere,-115.153388,36.203258
90,411,SN411,EB Carey after Sierra Sunrise,-115.01926,36.202429
90,418,SN418,WB Carey after West,-115.165842,36.203085
90,440,SN440,SB Center after Dogwood,-114.967325,36.046223
